iter	MultiClass
0	1.590007449
1	1.572153866
2	1.555682094
3	1.540390988
4	1.526221073
5	1.512962658
6	1.50040538
7	1.488796818
8	1.477924248
9	1.467652636
10	1.458052141
11	1.448805813
12	1.440117381
13	1.43203328
14	1.424248029
15	1.416952089
16	1.410073391
17	1.403399997
18	1.397119334
19	1.391206442
20	1.3855499
21	1.380125645
22	1.375035206
23	1.370099588
24	1.365515663
25	1.361019549
26	1.356775399
27	1.352706534
28	1.348915155
29	1.34519742
30	1.341684539
31	1.338270825
32	1.335001813
33	1.331909435
34	1.328941408
35	1.326124605
36	1.323482973
37	1.320866302
38	1.318388599
39	1.316043006
40	1.313825137
41	1.31164426
42	1.309518924
43	1.307550546
44	1.305626917
45	1.303781091
46	1.302083791
47	1.300339269
48	1.298723933
49	1.297155257
50	1.295696429
51	1.294194426
52	1.292927522
53	1.291586412
54	1.29028398
55	1.289019437
56	1.287807176
57	1.286597951
58	1.285520386
59	1.284463396
60	1.283414614
61	1.282430368
62	1.281489747
63	1.280619398
64	1.279723638
65	1.27891344
66	1.278081992
67	1.277348025
68	1.276581451
69	1.275918204
70	1.275236518
71	1.274494118
72	1.273829522
73	1.273200568
74	1.272580945
75	1.271988532
76	1.271398929
77	1.270833612
78	1.270328222
79	1.26978854
80	1.269312945
81	1.26882903
82	1.268331286
83	1.267889421
84	1.267482074
85	1.267066069
86	1.266662544
87	1.266286341
88	1.265908451
89	1.265522578
90	1.265161553
91	1.264821554
92	1.264499318
93	1.264158532
94	1.263791548
95	1.263502593
96	1.263164505
97	1.262927382
98	1.262686436
99	1.262386688
100	1.262098857
101	1.261848243
102	1.26157649
103	1.26133532
104	1.261073686
105	1.260880525
106	1.260648687
107	1.260406392
108	1.260211881
109	1.260039408
110	1.259847034
111	1.259699746
112	1.259532332
113	1.259339058
114	1.259160513
115	1.258983543
116	1.258808933
117	1.258633649
118	1.258469608
119	1.258351215
120	1.25821517
121	1.258055627
122	1.25794724
123	1.257822102
124	1.257697413
125	1.257547651
126	1.257392942
127	1.257291414
128	1.257174033
129	1.257069358
130	1.256968954
131	1.256859893
132	1.256758478
133	1.256660773
134	1.256529788
135	1.25642365
136	1.256323247
137	1.256230152
138	1.25613121
139	1.256056779
140	1.255969643
141	1.255869464
142	1.255748261
143	1.255663261
144	1.255579498
145	1.255472011
146	1.255370821
147	1.255285708
148	1.255206555
149	1.255124478
150	1.255055219
151	1.254972355
152	1.254891403
153	1.254841932
154	1.254762217
155	1.254713533
156	1.254624036
157	1.254498672
158	1.254419968
159	1.254334856
160	1.254256265
161	1.254169016
162	1.25407817
163	1.25400891
164	1.253944486
165	1.253881635
166	1.253826318
167	1.253769314
168	1.253693983
169	1.25362776
170	1.253558388
171	1.253491827
172	1.253412224
173	1.253350723
174	1.253296418
175	1.253239189
176	1.253178137
177	1.253095611
178	1.253036583
179	1.25297407
180	1.252891094
181	1.252800472
182	1.252745155
183	1.252694335
184	1.252589097
185	1.25253198
186	1.252484871
187	1.252433938
188	1.252386941
189	1.252336908
190	1.252276418
191	1.25222751
192	1.252150493
193	1.25211249
194	1.252050539
195	1.252007702
196	1.251950473
197	1.251911009
198	1.251855242
199	1.251793291
200	1.251750004
201	1.251705817
202	1.251666015
203	1.251611935
204	1.251550771
205	1.251494666
206	1.25144261
207	1.251399323
208	1.25133636
209	1.251273959
210	1.25120796
211	1.251163212
212	1.25111138
213	1.251056175
214	1.250994561
215	1.250950487
216	1.250868972
217	1.25080556
218	1.25073765
219	1.250686268
220	1.250640957
221	1.250591261
222	1.250540104
223	1.250504125
224	1.250460838
225	1.250404171
226	1.25033064
227	1.250290838
228	1.250240355
229	1.25018144
230	1.250136916
231	1.25010431
232	1.250049668
233	1.250009079
234	1.249963431
235	1.249911599
236	1.249858418
237	1.249816255
238	1.249760938
239	1.249712591
240	1.249665931
241	1.24962062
242	1.249563729
243	1.249519205
244	1.249478954
245	1.249449159
246	1.24939564
247	1.249356401
248	1.249317499
249	1.24926117
250	1.249193372
251	1.249160766
252	1.249108485
253	1.249038213
254	1.249002797
255	1.248967942
256	1.248917684
257	1.248861355
258	1.248816494
259	1.248773994
