iter	Passed	Remaining
0	310	774960
1	414	518084
2	518	431681
3	612	381938
4	707	352927
5	801	333028
6	906	322986
7	1011	315091
8	1112	307995
9	1211	301728
10	1313	297190
11	1418	294061
12	1528	292409
13	1626	288887
14	1726	286019
15	1817	282170
16	1906	278449
17	2000	275902
18	2099	274109
19	2193	271981
20	2280	269247
21	2375	267555
22	2462	265254
23	2557	263811
24	2646	261983
25	2738	260562
26	2833	259516
27	2927	258481
28	3016	257056
29	3114	256421
30	3204	255259
31	3304	254832
32	3398	254100
33	3495	253555
34	3583	252405
35	3670	251218
36	3765	250681
37	3866	250502
38	3958	249819
39	4050	249123
40	4137	248164
41	4228	247459
42	4313	246446
43	4397	245476
44	4491	245022
45	4582	244440
46	4658	243133
47	4745	242437
48	4825	241390
49	4919	241039
50	5001	240177
51	5095	239860
52	5171	238775
53	5258	238177
54	5342	237505
55	5427	236858
56	5520	236627
57	5610	236232
58	5692	235508
59	5773	234775
60	5869	234682
61	5951	234017
62	6036	233521
63	6109	232552
64	6200	232276
65	6269	231209
66	6355	230779
67	6438	230255
68	6521	229777
69	6599	229079
70	6673	228309
71	6762	228038
72	6836	227291
73	6913	226651
74	6982	225779
75	7066	225378
76	7147	224918
77	7227	224409
78	7299	223691
79	7374	223067
80	7450	222500
81	7533	222134
82	7611	221657
83	7688	221133
84	7763	220571
85	7841	220097
86	7921	219701
87	7998	219225
88	8082	218954
89	8158	218478
90	8232	217928
91	8302	217320
92	8376	216807
93	8454	216403
94	8545	216341
95	8618	215831
96	8696	215446
97	8761	214742
98	8828	214107
99	8917	214012
100	8989	213531
101	9066	213155
102	9149	212925
103	9223	212499
104	9294	211999
105	9363	211476
106	9435	211024
107	9508	210605
108	9582	210190
109	9649	209667
110	9718	209172
111	9786	208656
112	9865	208388
113	9942	208100
114	10012	207653
115	10083	207223
116	10150	206744
117	10223	206366
118	10290	205896
119	10351	205295
120	10420	204879
121	10486	204403
122	10547	203838
123	10613	203366
124	10677	202872
125	10739	202344
126	10805	201901
127	10870	201443
128	10934	200973
129	10993	200413
130	11049	199824
131	11115	199411
132	11172	198836
133	11225	198205
134	11304	198043
135	11358	197431
136	11409	196797
137	11473	196386
138	11545	196101
139	11600	195559
140	11654	194982
141	11704	194358
142	11773	194057
143	11822	193433
144	11875	192880
145	11956	192774
146	12012	192287
147	12069	191804
148	12123	191294
149	12185	190909
150	12230	190261
151	12293	189900
152	12346	189396
153	12399	188894
154	12466	188606
155	12507	187935
156	12572	187625
157	12642	187398
158	12693	186895
159	12747	186429
160	12813	186151
161	12873	185793
162	12945	185599
163	13015	185390
164	13067	184929
165	13128	184595
166	13191	184283
167	13235	183723
168	13290	183318
169	13354	183038
170	13412	182679
171	13479	182438
172	13546	182206
173	13596	181760
174	13646	181299
175	13694	180834
176	13741	180347
177	13799	180015
178	13862	179748
179	13919	179407
180	13994	179296
181	14056	179032
182	14114	178703
183	14170	178363
184	14240	178192
185	14296	177858
186	14345	177438
187	14393	177009
188	14456	176767
189	14505	176351
190	14561	176038
191	14615	175689
192	14674	175404
193	14734	175144
194	14803	174989
195	14854	174611
196	14915	174369
197	14958	173915
198	15026	173746
199	15088	173512
200	15135	173112
201	15185	172750
202	15231	172350
